2025-09-02 15:27:48 | ip | 10.16.8.61 | up | 44ms
2025-09-02 15:27:48 | ip | 10.16.8.6 | up | 33ms
2025-09-02 15:27:48 | ip | 10.16.8.11 | up | 36ms
2025-09-02 15:27:49 | ip | 10.16.8.254 | up | 1060ms
2025-09-02 15:27:49 | ip | 10.16.1.8 | up | 41ms
2025-09-02 15:27:54 | ip | 189.202.180.34 | down | ms
2025-09-02 15:27:59 | ip | 189.202.180.40 | down | ms
2025-09-02 15:27:59 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:28:00 | web | tlalpan.cdmx.gob.mx | up | 479ms
2025-09-02 15:28:00 | web | correo2.cdmx.gob.mx | up | 128ms
2025-09-02 15:28:00 | web | http://10.16.1.3/VU/ | up | 11ms
2025-09-02 15:28:00 | service | 8.8.8.8 | up | 92ms
2025-09-02 15:28:00 | web | google.com | up | 132ms
2025-09-02 15:28:01 |  | 8.8.8.8 | up | 93ms
2025-09-02 15:28:25 | ip | 10.16.1.3 | up | 49ms
2025-09-02 15:28:25 | ip | 10.16.8.16 | up | 58ms
2025-09-02 15:28:25 | ip | 10.16.1.7 | up | 49ms
2025-09-02 15:28:30 | ip | 10.16.0.5 | down | ms
2025-09-02 15:28:30 | ip | 10.16.0.127 | up | 50ms
2025-09-02 15:29:00 | ip | 10.16.1.3 | up | 51ms
2025-09-02 15:29:00 | ip | 10.16.8.16 | up | 49ms
2025-09-02 15:29:00 | ip | 10.16.1.7 | up | 44ms
2025-09-02 15:29:05 | ip | 10.16.0.5 | down | ms
2025-09-02 15:29:05 | ip | 10.16.0.127 | up | 41ms
2025-09-02 15:29:10 | ip | 10.16.0.7 | down | ms
2025-09-02 15:29:15 | ip | 172.16.1.1 | down | ms
2025-09-02 15:29:20 | ip | 172.16.1.2 | down | ms
2025-09-02 15:29:20 | ip | 10.16.8.249 | up | 46ms
2025-09-02 15:29:20 | ip | 10.16.8.2 | up | 46ms
2025-09-02 15:29:21 | ip | 10.16.8.5 | up | 1224ms
2025-09-02 15:29:21 | ip | 10.16.8.40 | up | 41ms
2025-09-02 15:29:22 | ip | 10.16.8.4 | up | 50ms
2025-09-02 15:29:23 | ip | 10.16.8.10 | up | 1274ms
2025-09-02 15:29:23 | ip | 10.16.8.7 | up | 52ms
2025-09-02 15:29:24 | ip | 10.16.8.20 | up | 1364ms
2025-09-02 15:29:24 | ip | 10.16.8.25 | up | 49ms
2025-09-02 15:29:24 | ip | 10.16.8.9 | up | 37ms
2025-09-02 15:29:25 | ip | 10.16.8.61 | up | 48ms
2025-09-02 15:29:25 | ip | 10.16.8.6 | up | 49ms
2025-09-02 15:29:25 | ip | 10.16.8.11 | up | 52ms
2025-09-02 15:29:26 | ip | 10.16.8.254 | up | 1129ms
2025-09-02 15:29:26 | ip | 10.16.1.8 | up | 45ms
2025-09-02 15:29:31 | ip | 189.202.180.34 | down | ms
2025-09-02 15:29:36 | ip | 189.202.180.40 | down | ms
2025-09-02 15:29:36 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:29:37 | web | tlalpan.cdmx.gob.mx | up | 578ms
2025-09-02 15:29:37 | web | correo2.cdmx.gob.mx | up | 119ms
2025-09-02 15:29:37 | web | http://10.16.1.3/VU/ | up | 10ms
2025-09-02 15:29:37 | service | 8.8.8.8 | up | 80ms
2025-09-02 15:29:37 | web | google.com | up | 136ms
2025-09-02 15:29:37 |  | 8.8.8.8 | up | 74ms
2025-09-02 15:30:37 | ip | 10.16.1.3 | up | 45ms
2025-09-02 15:30:37 | ip | 10.16.8.16 | up | 43ms
2025-09-02 15:30:37 | ip | 10.16.1.7 | up | 44ms
2025-09-02 15:30:42 | ip | 10.16.0.5 | down | ms
2025-09-02 15:30:42 | ip | 10.16.0.127 | up | 46ms
2025-09-02 15:30:47 | ip | 10.16.0.7 | down | ms
2025-09-02 15:30:52 | ip | 172.16.1.1 | down | ms
2025-09-02 15:30:57 | ip | 172.16.1.2 | down | ms
2025-09-02 15:30:57 | ip | 10.16.8.249 | up | 32ms
